Title;Make;Antenna Type;Model Number;Antenna Size;Directional Gain;Item Type;Path
Radio Waves 2ft 7GHz (Single Polarised);Radio Waves;Single Polarised;7GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 7GHz (Single Polarised);Radio Waves;Single Polarised;7GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 7GHz (Single Polarised);Radio Waves;Single Polarised;7GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 7GHz (Single Polarised);Radio Waves;Single Polarised;7GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 7GHz (Single Polarised);Radio Waves;Single Polarised;7GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 7GHz (Single Polarised);Radio Waves;Single Polarised;7GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 7GHz (Dual Polarised);Radio Waves;Dual Polarised;7GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 7GHz (Dual Polarised);Radio Waves;Dual Polarised;7GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 7GHz (Dual Polarised);Radio Waves;Dual Polarised;7GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 7GHz (Dual Polarised);Radio Waves;Dual Polarised;7GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 7GHz (Dual Polarised);Radio Waves;Dual Polarised;7GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 7GHz (Dual Polarised);Radio Waves;Dual Polarised;7GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 8GHz (Single Polarised);Radio Waves;Single Polarised;8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 8GHz (Single Polarised);Radio Waves;Single Polarised;8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 8GHz (Single Polarised);Radio Waves;Single Polarised;8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 8GHz (Single Polarised);Radio Waves;Single Polarised;8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 8GHz (Single Polarised);Radio Waves;Single Polarised;8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 8GHz (Single Polarised);Radio Waves;Single Polarised;8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 8GHz (Dual Polarised);Radio Waves;Dual Polarised;8GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 8GHz (Dual Polarised);Radio Waves;Dual Polarised;8GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 8GHz (Dual Polarised);Radio Waves;Dual Polarised;8GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 8GHz (Dual Polarised);Radio Waves;Dual Polarised;8GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 8GHz (Dual Polarised);Radio Waves;Dual Polarised;8GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 8GHz (Dual Polarised);Radio Waves;Dual Polarised;8GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 11GHz (Single Polarised);Radio Waves;Single Polarised;11GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 11GHz (Single Polarised);Radio Waves;Single Polarised;11GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 11GHz (Single Polarised);Radio Waves;Single Polarised;11GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 11GHz (Single Polarised);Radio Waves;Single Polarised;11GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 11GHz (Single Polarised);Radio Waves;Single Polarised;11GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 11GHz (Single Polarised);Radio Waves;Single Polarised;11GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 11GHz (Dual Polarised);Radio Waves;Dual Polarised;11GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 11GHz (Dual Polarised);Radio Waves;Dual Polarised;11GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 11GHz (Dual Polarised);Radio Waves;Dual Polarised;11GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 11GHz (Dual Polarised);Radio Waves;Dual Polarised;11GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 11GHz (Dual Polarised);Radio Waves;Dual Polarised;11GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 11GHz (Dual Polarised);Radio Waves;Dual Polarised;11GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 13GHz (Single Polarised);Radio Waves;Single Polarised;13GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 13GHz (Single Polarised);Radio Waves;Single Polarised;13GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 13GHz (Single Polarised);Radio Waves;Single Polarised;13GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 13GHz (Single Polarised);Radio Waves;Single Polarised;13GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 13GHz (Single Polarised);Radio Waves;Single Polarised;13GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 13GHz (Single Polarised);Radio Waves;Single Polarised;13GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 13GHz (Dual Polarised);Radio Waves;Dual Polarised;13GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 13GHz (Dual Polarised);Radio Waves;Dual Polarised;13GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 13GHz (Dual Polarised);Radio Waves;Dual Polarised;13GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 13GHz (Dual Polarised);Radio Waves;Dual Polarised;13GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 13GHz (Dual Polarised);Radio Waves;Dual Polarised;13GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 13GHz (Dual Polarised);Radio Waves;Dual Polarised;13GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 15GHz (Single Polarised);Radio Waves;Single Polarised;15GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 15GHz (Single Polarised);Radio Waves;Single Polarised;15GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 15GHz (Single Polarised);Radio Waves;Single Polarised;15GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 15GHz (Single Polarised);Radio Waves;Single Polarised;15GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 15GHz (Single Polarised);Radio Waves;Single Polarised;15GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 15GHz (Single Polarised);Radio Waves;Single Polarised;15GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 15GHz (Dual Polarised);Radio Waves;Dual Polarised;15GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 15GHz (Dual Polarised);Radio Waves;Dual Polarised;15GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 15GHz (Dual Polarised);Radio Waves;Dual Polarised;15GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 15GHz (Dual Polarised);Radio Waves;Dual Polarised;15GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 15GHz (Dual Polarised);Radio Waves;Dual Polarised;15GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 15GHz (Dual Polarised);Radio Waves;Dual Polarised;15GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 18GHz (Single Polarised);Radio Waves;Single Polarised;18GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 18GHz (Single Polarised);Radio Waves;Single Polarised;18GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 18GHz (Single Polarised);Radio Waves;Single Polarised;18GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 18GHz (Single Polarised);Radio Waves;Single Polarised;18GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 18GHz (Single Polarised);Radio Waves;Single Polarised;18GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 18GHz (Single Polarised);Radio Waves;Single Polarised;18GHz;10ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 2ft 18GHz (Dual Polarised);Radio Waves;Dual Polarised;18GHz;2ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 3ft 18GHz (Dual Polarised);Radio Waves;Dual Polarised;18GHz;3ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 4ft 18GHz (Dual Polarised);Radio Waves;Dual Polarised;18GHz;4ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 6ft 18GHz (Dual Polarised);Radio Waves;Dual Polarised;18GHz;6ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 8ft 18GHz (Dual Polarised);Radio Waves;Dual Polarised;18GHz;8ft;;Item;mea/is/cops/Lists/Antennas
Radio Waves 10ft 18GHz (Dual Polarised);Radio Waves;Dual Polarised;18GHz;10ft;;Item;mea/is/cops/Lists/Antennas
