Title;Province;Item Type;Path
Alberton;Gauteng;Item;mea/is/cops/Lists/Cities
Benoni;Gauteng;Item;mea/is/cops/Lists/Cities
Bloemfontein;Free State;Item;mea/is/cops/Lists/Cities
Boksburg;Gauteng;Item;mea/is/cops/Lists/Cities
Brakpan;Gauteng;Item;mea/is/cops/Lists/Cities
Cape Town;Western Cape;Item;mea/is/cops/Lists/Cities
Delmas;Mpumalanga;Item;mea/is/cops/Lists/Cities
Durban;Kwa-Zulu Natal;Item;mea/is/cops/Lists/Cities
East London;Eastern Cape;Item;mea/is/cops/Lists/Cities
Eastern Cape Countryside;Eastern Cape;Item;mea/is/cops/Lists/Cities
Free State Countryside;Free State;Item;mea/is/cops/Lists/Cities
Gauteng Countryside;Gauteng;Item;mea/is/cops/Lists/Cities
George;Western Cape;Item;mea/is/cops/Lists/Cities
Haenertsburg;Limpopo;Item;mea/is/cops/Lists/Cities
Hartbeespoort;North West;Item;mea/is/cops/Lists/Cities
Heidelberg;Gauteng;Item;mea/is/cops/Lists/Cities
Johannesburg;Gauteng;Item;mea/is/cops/Lists/Cities
Krugersdorp;Gauteng;Item;mea/is/cops/Lists/Cities
Kwa-Zulu Natal Countryside;Kwa-Zulu Natal;Item;mea/is/cops/Lists/Cities
Lephalale;Limpopo;Item;mea/is/cops/Lists/Cities
Limpopo Countryside;Limpopo;Item;mea/is/cops/Lists/Cities
Middelburg;Mpumalanga;Item;mea/is/cops/Lists/Cities
Mokopane;Limpopo;Item;mea/is/cops/Lists/Cities
Mpumalanga Countryside;Mpumalanga;Item;mea/is/cops/Lists/Cities
Nelspruit;Mpumalanga;Item;mea/is/cops/Lists/Cities
North West Countryside;North West;Item;mea/is/cops/Lists/Cities
Northern Cape Countryside;Northern Cape;Item;mea/is/cops/Lists/Cities
Orange farm;Gauteng;Item;mea/is/cops/Lists/Cities
Pietermaritzburg;Kwa-Zulu Natal;Item;mea/is/cops/Lists/Cities
Polokwane;Limpopo;Item;mea/is/cops/Lists/Cities
Port Elizabeth;Eastern Cape;Item;mea/is/cops/Lists/Cities
Pretoria;Gauteng;Item;mea/is/cops/Lists/Cities
Richards Bay;Kwa-Zulu Natal;Item;mea/is/cops/Lists/Cities
Rustenberg;North West;Item;mea/is/cops/Lists/Cities
Sabie;Mpumalanga;Item;mea/is/cops/Lists/Cities
Springs;Gauteng;Item;mea/is/cops/Lists/Cities
Stellenbosch;Western Cape;Item;mea/is/cops/Lists/Cities
Vereeniging;Gauteng;Item;mea/is/cops/Lists/Cities
Western Cape Countryside;Western Cape;Item;mea/is/cops/Lists/Cities
Witbank;Mpumalanga;Item;mea/is/cops/Lists/Cities
