Title;Siebel Billing Account;Item Type;Path
! Audit;Audit;Item;mea/is/cops/Lists/Clients
! New Installation;New Installation Placeholder;Item;mea/is/cops/Lists/Clients
180 Kloof Road - Ellerman House;180 KLOOF ROAD (PTY) LTD T/A ELLERMAN HOUSE;Item;mea/is/cops/Lists/Clients
1Stream Managed Technology Solutions;1 STREAM MANAGED TECHNOLOGY SOLUTIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
2Go Interactive;2 GO INTERACTIVE;Item;mea/is/cops/Lists/Clients
Actom;ACTOM (PTY) LTD - AIR POLLUTION CONTROL;Item;mea/is/cops/Lists/Clients
ActveOps Africa;ActiveOps Africa;Item;mea/is/cops/Lists/Clients
Actvest;ACTVEST (PTY) LTD;Item;mea/is/cops/Lists/Clients
Adcock Ingram Healthcare;ADCOCK INGRAM HEALTHCARE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Adcorp;DIMENSION DATA (PTY) LTD - ADCORP;Item;mea/is/cops/Lists/Clients
Adcorp Shared Services;ADCORP SHARED SERVICES CENTRE - A DIV OF ADCORP MANAGEMENT SERVICES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Adcorp Shared Services Centre;ADCORP SHARED SERVICES CENTRE - A DIV OF ADCORP MANAGEMENT SERVICES (PTY) LTD;Item;mea/is/cops/Lists/Clients
ADT;COMMUNICATION SOLUTIONS LTD;Item;mea/is/cops/Lists/Clients
Advtech;ADVTECH EDUCATION;Item;mea/is/cops/Lists/Clients
Advtech Education;ADVTECH EDUCATION;Item;mea/is/cops/Lists/Clients
Advtech Resourcing;ADVTECH RESOURCING PTY LTD;Item;mea/is/cops/Lists/Clients
AECI Limited;AECI LIMITED;Item;mea/is/cops/Lists/Clients
Aegis Media Central Services;AEGIS MEDIA CENTRAL SERVICES;Item;mea/is/cops/Lists/Clients
African Sales Company;AFRICAN SALES COMPANY;Item;mea/is/cops/Lists/Clients
Aidan Francis Casserley - Castlerock;AIDAN FRANCIS CASSERLEY CC T/A CASTLEROCK;Item;mea/is/cops/Lists/Clients
Air Products;AIR PRODUCTS;Item;mea/is/cops/Lists/Clients
Akacia;AKACIA HEALTHCARE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Albaraka Bank;INFOSTREAM TECHNOLOGIES CC;Item;mea/is/cops/Lists/Clients
Alert Engine Parts;ALERT ENGINE PARTS;Item;mea/is/cops/Lists/Clients
Alexander Forbes;ALEXANDER FORBES GROUP & TECHNOLOGY SERVICES (PTY);Item;mea/is/cops/Lists/Clients
Amatola;AMATOLA WATER BOARD;Item;mea/is/cops/Lists/Clients
AMEC;AMEC GRD SA (INCORPORATED IN THE NETHERLANDS);Item;mea/is/cops/Lists/Clients
Antfarm ;THE ANTFARM;Item;mea/is/cops/Lists/Clients
Aramex South Africa;ARAMEX SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Astrazeneca;ASTRAZENECA PHARMACEUTICALS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Atcomm;ATCOMM (PTY) LTD;Item;mea/is/cops/Lists/Clients
Automated Outsourcing Services;AUTOMATED OUTSOURCING SERVICES;Item;mea/is/cops/Lists/Clients
AVI Financial Services;AVI FINANCIAL SERVICES;Item;mea/is/cops/Lists/Clients
Avusa Media;TIMES MEDIA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Baran Projects;BARAN PROJECTS SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Barloworld;BARLOWORLD MOTOR RETAILS SA A DIVISION OF BARLOWORLD SA (PTY) LTD (AUTOMOTIVE);Item;mea/is/cops/Lists/Clients
Barone Budge & Dominick;BARONE BUDGE & DOMINICK (PTY) LTD;Item;mea/is/cops/Lists/Clients
Bayport;ACTVEST (PTY) LTD;Item;mea/is/cops/Lists/Clients
Behr Hella Service South Africa;BEHR HELLA SERVICE SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Bidfreight Port Operations;BIDFREIGHT PORT OPERATIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Bidtravel;BIDTRAVEL (PTY) LTD;Item;mea/is/cops/Lists/Clients
Bidtravel Services - Connex;BIDTRAVEL SERVICES - CONNEX (BCD);Item;mea/is/cops/Lists/Clients
Bidvest;BIDVEST WITS;Item;mea/is/cops/Lists/Clients
Bidvest Wits;BIDVEST WITS;Item;mea/is/cops/Lists/Clients
Blue Diamond Trading (BVS Telecomms);BLUE DIAMOND TRADING 226 CC T/A BVS TELECOMMS;Item;mea/is/cops/Lists/Clients
Blue Label Distribution;BLUE LABEL DISTRIBUTION (PTY) LTD;Item;mea/is/cops/Lists/Clients
BMW;BMW SOUTH AFRICA (PTY) LTD.;Item;mea/is/cops/Lists/Clients
Botswana Insurance Fund;BOTSWANA INSURANCE FUND MANAGEMENT LTD;Item;mea/is/cops/Lists/Clients
BP Bernstein;BP BERNSTEIN (PTY) LTD;Item;mea/is/cops/Lists/Clients
BP Southern Africa;BP SOUTHERN AFRICA;Item;mea/is/cops/Lists/Clients
BPI;BPI CAPITAL AFRICA ( PTY ) LTD;Item;mea/is/cops/Lists/Clients
BPSA;BP SOUTHERN AFRICA;Item;mea/is/cops/Lists/Clients
Brait Management;BRAIT SOUTH AFRICA LIMITED;Item;mea/is/cops/Lists/Clients
Brand House Beverages;BRAND HOUSE BEVERAGES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Bridgestone;BRIDGESTONE;Item;mea/is/cops/Lists/Clients
Brightrock;BRIGHTROCK (PTY) LTD;Item;mea/is/cops/Lists/Clients
Bruma Finance;PRODUCT CREDIT SOLUTIONS;Item;mea/is/cops/Lists/Clients
BT Communications Services;BT COMMUNICATIONS SERVICES SOUTH AFRICA (PTY) LTD - NNI;Item;mea/is/cops/Lists/Clients
Burquip International;BURQUIP INTERNATIONAL (PTY) LTD;Item;mea/is/cops/Lists/Clients
Cabritos;ISERVE INFRASTRUCTURE SOLUTIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Cadbury SA;MONDELEZ SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Callfin;CALLFIN (PTY) LTD;Item;mea/is/cops/Lists/Clients
Capfin;CAPFIN (PTY) LTD;Item;mea/is/cops/Lists/Clients
Cargo Compass SA;CARGO COMPASS SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Centric;CENTRIC NET SOLUTIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Chaotic Computers;CHAOTIC COMPUTERS CC;Item;mea/is/cops/Lists/Clients
Check One Supermarket;CHECK ONE SUPERMARKET (PTY) LTD T/A CHECKOUT;Item;mea/is/cops/Lists/Clients
City Lodge Hotels;CITY LODGE HOTELS;Item;mea/is/cops/Lists/Clients
Clear Channel Business Technology;CLEAR CHANNEL BUSINESS TECHNOLOGY T/A BUSINESS TECHNOLOGY;Item;mea/is/cops/Lists/Clients
Clinix Health Group;CLINIX HEALTH GROUP LTD;Item;mea/is/cops/Lists/Clients
Cloud 9 Trading;CLOUD 9 TRADING CC;Item;mea/is/cops/Lists/Clients
Coca Cola Africa;COCA-COLA AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Colas South Africa;COLAS SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Com IT Technologies;COM IT TECHNOLOGIES;Item;mea/is/cops/Lists/Clients
Companies and Intellection Property Commission;COMPANIES AND INTELLECTUAL PROPERTY COMMISSION;Item;mea/is/cops/Lists/Clients
Compushare;COMPUTERSHARE LTD;Item;mea/is/cops/Lists/Clients
Concorde Travel - Carlson Wagonlit Travel;CONCORDE TRAVEL (PTY)LTD T/A CARLSON WAGONLIT TRAVEL;Item;mea/is/cops/Lists/Clients
Conekt Business Group;CONEKT BUSINESS GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Consilia Consult;CONSILIA CONSULT (PTY) LTD;Item;mea/is/cops/Lists/Clients
Consumer Profile Bureau;CONSUMER PROFILE BUREAU (PTY) LTD;Item;mea/is/cops/Lists/Clients
Continental Tyre SA;CONTINENTAL TYRE SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Continuity SA;CONTINUITY SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Corex IT;COREX IT (PTY) LTD;Item;mea/is/cops/Lists/Clients
Coricraft;CORICRAFT GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Cornerstone Christian College;CORNERSTONE CHRISTIAN COLLEGE;Item;mea/is/cops/Lists/Clients
Cosamo;COSAMO (PTY) LTD;Item;mea/is/cops/Lists/Clients
Curro Fund Services;DIMENSION DATA (PTY) LTD (CONTRACTS);Item;mea/is/cops/Lists/Clients
Damen Ship Yards ;DAMEN SHIP YARDS ( PTY ) LTD;Item;mea/is/cops/Lists/Clients
Danfoss;DANFOSS;Item;mea/is/cops/Lists/Clients
Danone South Africa;DIMENSION DATA (PTY) LTD - DANONE;Item;mea/is/cops/Lists/Clients
Derivco;DERIVCO  : DURBAN;Item;mea/is/cops/Lists/Clients
DH Brothers Industries (Willowton Group);DH BROTHERS INDUSTRIES (PTY) LTD T/A WILLOWTON GROUP;Item;mea/is/cops/Lists/Clients
Digicall Solutions ;DIGICALL SOLUTIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Digital Outsourcing Services;DIGITAL OUTSOURCE SERVICES (PTY) LTD;Item;mea/is/cops/Lists/Clients
Dimension Data - COJ;DIMENSION DATA (PTY) LTD (COJ);Item;mea/is/cops/Lists/Clients
Dimension Data - Facilities;DIMENSION DATA  (PTY) LTD;Item;mea/is/cops/Lists/Clients
Dimension Data - ITISS;DIMENSION DATA (PTY) LTD - ITISS;Item;mea/is/cops/Lists/Clients
Dimension Data - MIBFA;DIMENSION DATA (PTY) LTD - MIBFA;Item;mea/is/cops/Lists/Clients
Dimension Data (Contracts);DIMENSION DATA (PTY) LTD (CONTRACTS);Item;mea/is/cops/Lists/Clients
Directel;DIRECTEL COMMUNICATIONS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Divex;DIVEX (PTY) LTD;Item;mea/is/cops/Lists/Clients
Dr Suman and Partners;DR SULMAN & PARTNERS;Item;mea/is/cops/Lists/Clients
Eastern Cape Development Corporation;EASTERN CAPE DEVELOPMENT CORPORATION;Item;mea/is/cops/Lists/Clients
Ecotech Converge;ECOTECH CONVERGE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Egon Zehnder;EGON ZEHNDER INTERNATIONAL (SOUTH AFRICA);Item;mea/is/cops/Lists/Clients
Enermech;ENERMECH WATER WEIGHTS SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Engen Petroleum;ENGEN PETROLEUM LIMITED;Item;mea/is/cops/Lists/Clients
EOH Infrastructure Technologies;EOH INFRASTRUCTURE TECHNOLOGIES;Item;mea/is/cops/Lists/Clients
ER 24;ER 24 EMS (PTY) LTD T/A ER 24;Item;mea/is/cops/Lists/Clients
ESAT TV;ESAT TV (PTY) LTD.;Item;mea/is/cops/Lists/Clients
Eskom Pension and Provident Fund;ESKOM PENSION AND PROVIDENT FUND;Item;mea/is/cops/Lists/Clients
Estee Lauder;ESTEE LAUDER COMPANIES (PTY) LTD;Item;mea/is/cops/Lists/Clients
ETDP;ETDPSETA;Item;mea/is/cops/Lists/Clients
ETDPSETA;ETDPSETA;Item;mea/is/cops/Lists/Clients
Export Credit Insurance Corporation of SA;EXPORT CREDIT INSURANCE CORPORATION OF SA (SOC) LIMITED;Item;mea/is/cops/Lists/Clients
First Garment Rental;FIRST GARMENT RENTAL (PTY) LTD;Item;mea/is/cops/Lists/Clients
First Quantum Minerals;FIRST QUANTUM MINERALS;Item;mea/is/cops/Lists/Clients
Foschini Retail Group;FOSCHINI RETAIL GROUP (PTY) LTD;Item;mea/is/cops/Lists/Clients
Freedom Stationary;FREEDOM STATIONERY PTY LTD;Item;mea/is/cops/Lists/Clients
Fujitsu;FUJITSU SERVICES CORE (PTY) LTD;Item;mea/is/cops/Lists/Clients
GAC Shipping;GAC SHIPPING SA PTY LTD;Item;mea/is/cops/Lists/Clients
Galix ;GALIX NETWORKING;Item;mea/is/cops/Lists/Clients
Garden Court Morningside;SOUTHERN SUN HOTEL INTERESTS;Item;mea/is/cops/Lists/Clients
Gauteng Provincial Legislature;GAUTENG PROVINCIAL LEGISLATURE;Item;mea/is/cops/Lists/Clients
Gavilon SA;GAVILON SOUTH AFRICAN (PTY) LTD;Item;mea/is/cops/Lists/Clients
Gina At Work;GINA AT WORK;Item;mea/is/cops/Lists/Clients
Glyn Marais;GLYN MARAIS INCOPORATED;Item;mea/is/cops/Lists/Clients
Government Pensions Administration Agency;GOVERNMENT PENSIONS ADMINISTRATION AGENCY;Item;mea/is/cops/Lists/Clients
Green Office;GREENOFFICE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Grey Group;GREY GROUP SOUTH AFRICA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Grindrod;GRINDROD MANAGEMENT SERVICES;Item;mea/is/cops/Lists/Clients
Group M Media ;GROUP M MEDIA SA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Hannover Reinsurance;HANNOVER REINSURANCE;Item;mea/is/cops/Lists/Clients
HARFORD SPORTS PROMOTIONS;INFORMATION TECHNOLOGY NETWORK ALLIANCE;Item;mea/is/cops/Lists/Clients
HC van Wyk Diamonds;H.C. VAN WYK DIAMONDS LTD;Item;mea/is/cops/Lists/Clients
Hirt & Carter;HIRT & CARTER DIV OF TIMES MEDIA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Homemark;HOMEMARK (PTY) LTD;Item;mea/is/cops/Lists/Clients
Honda  South Africa;Honda South Africa;Item;mea/is/cops/Lists/Clients
Housing Developement Agency;HOUSING DEVELOPMENT AGENCY;Item;mea/is/cops/Lists/Clients
Human Sciences Research Council;HUMAN SCIENCES RESEARCH COUNCIL;Item;mea/is/cops/Lists/Clients
Humulani Marketing;HUMULANI MARKETING (PTY) LTD;Item;mea/is/cops/Lists/Clients
Hyflo;GALIX NETWORKING;Item;mea/is/cops/Lists/Clients
Iconnect SA;ICONNECTSA (PTY) LTD;Item;mea/is/cops/Lists/Clients
Ideals;MODEL EXTENSION (PTY)  LTD T/A IDEALS;Item;mea/is/cops/Lists/Clients
Image Makers;IMAGE MAKERS (PTY) LTD;Item;mea/is/cops/Lists/Clients
Imperial Managed Logistics;IMPERIAL MANAGED LOGISTICS;Item;mea/is/cops/Lists/Clients
INCE;INCE (PTY) LTD;Item;mea/is/cops/Lists/Clients
Industrial Water Cooling;INDUSTRIAL WATER COOLING (PTY) LTD;Item;mea/is/cops/Lists/Clients
Indwala Industrial Holdings;IDWALA INDUSTRIAL HOLDINGS LTD;Item;mea/is/cops/Lists/Clients
